eem_id,document,cat_lev1,cat_lev2,eem_name,tags,type,uni_code,uni_code_manual,match
1389,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace AC and heating units with ground coupled heat pump systems,Heat pump,Descriptor,X0000,D3030,0
1389,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace AC and heating units with ground coupled heat pump systems,Pump,Descriptor,X0000,D3030,0
1390,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add enhanced dehumidification,NA,NA,NA,D3040,0
1391,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install solar ventilation preheating system,NA,NA,NA,D3040,0
1392,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add or repair economizer,Economizer,Element,D3040,D3040,1
1393,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add energy recovery,Energy recovery,Descriptor,X0000,D3040,0
1394,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add or replace cooling tower,Cooling tower,Element,D3030,D3030,1
1395,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install thermal destratification fans,Fan,Element,D3040,E2010,0
1396,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install demand control ventilation,demand control,Descriptor,D3060,D3060,1
1397,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install gas cooling,NA,NA,NA,D3030,0
1398,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install air source heat pump,Heat pump,Descriptor,X0000,D3050,0
1398,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install air source heat pump,Pump,Descriptor,X0000,D3050,0
1399,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install variable refrigerant flow system,Variable refrigerant flow,Descriptor,D3040,D3040,1
1399,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install variable refrigerant flow system,Refrigerant,Descriptor,X0000,D3040,0
1400,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Capture and return condensate,Return,Descriptor,D3040,D3040,1
